ORINT;77
XORINT;77
LSLINT;-1
LSRINT;-1
ASRINT;-1
EQ;84
NEQ;84
LTINT;84
LEINT;84
GTINT;84
GEINT;84
OFFSETINT_1B;101
OFFSETINT_2B;152
OFFSETINT_4B;217
OFFSETREF_1B;148
OFFSETREF_2B;199
OFFSETREF_4B;264
ISINT;55
GETMETHOD;126
BEQ_1B;132
BEQ_2B;220
BEQ_4B;354
BNEQ_1B;131
BNEQ_2B;220
BNEQ_4B;352
BLTINT_1B;132
BLTINT_2B;220
BLTINT_4B;352
BLEINT_1B;128
BLEINT_2B;216
BLEINT_4B;348
BGTINT_1B;128
BGTINT_2B;216
BGTINT_4B;348
BGEINT_1B;132
BGEINT_2B;220
BGEINT_4B;352
ULTINT;84
UGEINT;84
BULTINT_1B;132
BULTINT_2B;220
BULTINT_4B;352
BUGEINT_1B;132
BUGEINT_2B;220
BUGEINT_4B;352
GETPUBMET;-1
GETDYNMET;-1
STOP;44
EVENT;36
BREAK;36
RERAISE;36
RAISE_NOTRACE;36
